,x,y,z
6583,-7.8626,-7.1126,-10.7137
6584,-7.88,-7.1393,-10.5805
6585,-7.9178,-7.2965,-10.3871
6586,-8.0814,-7.2628,-10.1931
6587,-8.0422,-7.0958,-9.9988
6588,-12.8876,-6.8846,0.0
6589,-23.3952,-6.4478,0.0
6590,-23.3952,-6.4478,4.1083
6592,-23.3952,-6.4478,4.1076
6594,-23.3952,-6.4478,-8.1
6597,-23.7234,-6.1878,-8.4174
6598,-23.5294,-6.8315,-8.6
6599,-23.7234,-6.6004,-8.6
6600,-23.0798,-6.2921,-8.6
6601,-23.0797,-6.1878,-8.6
6602,-23.7154,-6.1958,-8.1
6603,-23.3713,-6.54,-8.1
6614,-23.3713,-6.54,-7.89
6615,-23.1895,-6.54,-7.89
6616,-22.8113,-6.54,-7.89
6617,-22.8113,-5.6024,-7.89
6618,-22.8113,-4.41,-7.89
6619,-22.8113,-4.41,-5.3237
6620,-22.8113,-4.41,0.0
6621,-21.1862,-4.41,0.0
6622,-15.039,-4.41,0.0
6623,-14.8813,-0.6748,0.0
6624,-14.8813,0.0,0.0
6626,-14.8813,0.0,0.1001
6627,-14.8813,0.0,4.1083
6629,-14.8813,0.0,0.021
6630,-14.8813,-0.0001,-0.0003
6633,-14.8812,0.0,-0.0003
6715,-14.8813,-9.0277,0.0
6716,-21.8188,-11.7063,-10.7187
6717,-22.377,-11.7976,-10.7187
6718,-21.8867,-11.5153,-10.7187
6719,-22.2553,-11.8304,-10.7187
6720,-21.9444,-11.7809,-10.7187
6721,-22.0937,-11.6759,-10.5814
6722,-14.1011,-11.6554,-9.4937
6723,-7.7559,-11.4313,-10.7187
6724,-7.4765,-11.9183,-10.7187
6725,-7.8682,-11.5791,-10.7187
6726,-7.6214,-11.8871,-10.7187
6727,-7.567,-11.7287,-10.7187
6728,-7.6353,-11.6189,-9.878
6729,-21.7779,-11.7015,-9.4937
6730,-21.9396,-11.4748,-10.7137
6731,-22.387,-11.7123,-10.7137
6732,-21.8824,-11.7523,-10.7137
6733,-21.9869,-11.5311,-10.7137
6734,-22.0996,-11.537,-10.7137
6735,-22.0233,-11.7849,-10.6167
6736,-22.1818,-11.7917,-10.4234
6737,-22.1713,-11.6022,-10.2273
6738,-22.01,-11.6324,-10.0337
6739,-12.6884,-11.6676,-9.6937
6740,-7.6478,-11.4198,-10.7137
6741,-7.8886,-11.8595,-10.7137
6742,-7.4272,-11.6046,-10.7137
6743,-7.6734,-11.4842,-10.7137
6744,-7.7712,-11.5796,-10.7137
6745,-7.7656,-11.6563,-10.6424
6746,-7.5515,-11.6456,-10.4434
6747,-7.5447,-11.7398,-10.2549
6748,-7.6838,-11.8158,-10.0617
6749,-14.4333,-10.9151,-9.4937
6750,-21.8684,-10.3623,-10.7187
6751,-22.3857,-10.1334,-10.7187
6752,-21.821,-10.1652,-10.7187
6753,-22.2911,-10.1694,-10.7187
6754,-22.0931,-10.3333,-10.7187
6755,-22.0937,-10.1759,-9.9635
6756,-10.3678,-10.1459,-9.4937
6757,-7.5903,-9.9211,-10.7187
6758,-7.6313,-10.4873,-10.7187
6759,-7.7151,-10.0208,-10.7187
6760,-7.781,-10.3435,-10.7187
6761,-7.7075,-10.2791,-10.7187
6762,-8.8391,-10.1259,-9.4937
6763,-22.3468,-10.2048,-9.6365
6764,-21.8292,-10.1525,-10.7137
6765,-22.3836,-10.2426,-10.7137
6766,-22.064,-10.4194,-10.7137
6767,-21.9374,-10.232,-10.7137
6768,-21.9818,-10.1338,-10.7137
6769,-21.9927,-10.2341,-10.5747
6770,-22.1269,-10.3172,-10.3816
6771,-22.2239,-10.1887,-10.1881
6772,-22.0999,-10.0828,-9.9946
6773,-9.0159,-10.1966,-9.6937
6774,-7.4319,-10.0321,-10.7137
6775,-7.8853,-10.1768,-10.7137
6776,-7.4851,-10.3435,-10.7137
6777,-7.4951,-10.0843,-10.7137
6778,-7.5829,-10.0593,-10.7137
6779,-7.7743,-10.2037,-10.5998
6780,-7.6689,-10.0835,-10.4064
6781,-7.5394,-10.184,-10.2127
6782,-7.6292,-10.3159,-10.0194
6783,-18.1235,-9.0483,-9.4937
6784,-22.0073,-8.9708,-10.7187
6785,-22.2934,-8.4827,-10.7187
6786,-21.8622,-8.8378,-10.7187
6787,-22.1971,-8.5369,-10.7187
6788,-22.1937,-8.7001,-10.7187
6789,-22.0937,-8.6759,-9.4989
6790,-7.9313,-8.6396,-9.4937
6791,-7.4396,-8.5119,-10.7187
6792,-7.7938,-8.9534,-10.7187
6793,-7.5624,-8.5363,-10.7187
6794,-7.8449,-8.6828,-10.7187
6795,-7.7209,-8.6334,-10.7187
6796,-12.5552,-8.6476,-9.4937
6797,-22.352,-8.7026,-10.7042
6798,-21.9057,-8.8985,-10.7137
6799,-22.3088,-8.509,-10.7137
6800,-22.2743,-8.8466,-10.7137
6801,-22.0814,-8.8669,-10.7137
6802,-22.1847,-8.6124,-10.7137
6803,-21.9891,-8.6841,-10.5322
6804,-22.1018,-8.819,-10.3375
6805,-22.2106,-8.7563,-10.1468
6806,-21.8533,-8.5954,-9.6937
6807,-7.8969,-8.7054,-9.7461
6808,-7.3799,-8.7558,-10.7137
6809,-7.9338,-8.6612,-10.7137
6810,-7.6949,-8.92,-10.7137
6811,-7.5265,-8.8075,-10.7137
6812,-7.5469,-8.7447,-10.7137
6813,-7.759,-8.7592,-10.5577
6814,-7.7146,-8.5982,-10.3638
6815,-7.5688,-8.6211,-10.1714
6816,-7.605,-8.5938,-9.957
6817,-21.5002,-7.2127,-9.4937
6818,-22.1687,-7.4815,-10.7187
6819,-22.1352,-6.9149,-10.7187
6820,-22.0035,-7.4325,-10.7187
6821,-22.0295,-7.0299,-10.7187
6822,-22.0895,-7.1151,-10.7187
6823,-19.8761,-7.1702,-9.4937
6824,-7.9309,-7.1306,-10.7135
6825,-7.3704,-7.1703,-10.7187
6826,-7.9131,-7.3299,-10.7187
6827,-7.4685,-7.1756,-10.7187
6828,-7.7507,-7.0515,-10.7187
6829,-7.6353,-7.1189,-10.5197
6830,-16.1552,-7.1686,-9.4937
6831,-22.3175,-7.0161,-10.7137
6832,-22.1199,-7.4814,-10.7137
6833,-22.0666,-6.932,-10.7137
6834,-22.3136,-7.1221,-10.7137
6835,-22.2336,-7.3102,-10.7137
6836,-22.2018,-7.1315,-10.6863
6837,-22.0133,-7.128,-10.4903
6838,-22.0288,-7.2901,-10.2968
6839,-22.1631,-7.3043,-10.1054
6840,-18.4965,-7.1218,-9.6937
6841,-7.9337,-7.1556,-10.7137
6842,-7.498,-7.4338,-10.7137
6843,-7.776,-6.9508,-10.7137
6844,-7.8681,-7.2681,-10.7137
6845,-7.711,-7.3596,-10.7137
6846,-7.55,-7.2524,-10.7136
6847,-7.6956,-7.3124,-10.5173
6848,-7.7702,-7.1697,-10.3239
6849,-7.5846,-7.1067,-10.1271
6850,-7.605,-7.0938,-7.9908
6851,-7.605,-7.0938,0.0
6859,-9.0516,-5.6835,0.0
6860,-14.8813,0.0,-0.0003
7137,-19.4458,-7.1799,0.0
7138,-21.9167,-7.417,-10.7387
7139,-22.3597,-7.0652,-10.7387
7140,-21.8219,-7.239,-10.7387
7141,-22.2662,-7.1032,-10.7387
7142,-22.146,-7.3051,-10.7387
7143,-22.0938,-7.1759,-9.8979
7144,-22.1092,-6.9194,-10.7337
7145,-22.3326,-7.3672,-10.7337
7146,-21.8805,-7.0938,-10.7337
7147,-22.1347,-6.985,-10.7337
7148,-22.2183,-7.0771,-10.7337
7149,-22.218,-7.2403,-10.6677
7150,-22.1435,-7.0889,-10.4736
7151,-21.9883,-7.1977,-10.2775
7152,-22.0921,-7.3183,-10.0843
7153,-22.1132,-7.3194,-0.6088
7209,-14.8821,-6.6061,0.0
7210,-21.848,-7.2704,-10.7187
7211,-22.366,-7.1631,-10.7187
7212,-21.8394,-7.2169,-10.7187
7213,-22.2041,-7.0699,-10.7187
7214,-22.1413,-7.148,-10.7187
7215,-21.9654,-7.0084,-9.6984
7216,-22.3003,-7.3989,-10.7337
7217,-21.8422,-7.2229,-10.7337
7218,-22.2005,-6.9687,-10.7337
7219,-22.2396,-7.3697,-10.7337
7220,-21.931,-7.263,-10.7337
7221,-22.0213,-7.0455,-10.7337
7222,-22.2046,-7.0917,-10.7337
7223,-22.2195,-7.1771,-10.6638
7224,-22.048,-7.0968,-10.4677
7225,-21.9954,-7.2477,-10.2744
7226,-22.1274,-7.3169,-10.0819
7227,-22.1107,-7.3194,-0.3316
7273,-14.8813,-2.4332,0.0
7274,-21.8498,-7.1802,-10.6965
7275,-22.3529,-7.2555,-10.7187
7276,-21.8486,-7.13,-10.7187
7277,-22.2336,-7.1149,-10.7187
7278,-22.15,-7.1699,-10.7187
7279,-21.9082,-7.0661,-9.6957
7280,-22.3527,-7.3044,-10.7337
7281,-21.8666,-7.3113,-10.7337
7282,-22.1263,-6.9521,-10.7337
7283,-22.2901,-7.3025,-10.7337
7284,-21.9761,-7.3349,-10.7337
7285,-21.9641,-7.0976,-10.7337
7286,-22.1377,-7.058,-10.7337
7287,-21.9867,-7.1633,-10.6448
7288,-22.0969,-7.319,-10.4486
7289,-22.206,-7.2505,-10.2577
7290,-22.1542,-7.0966,-10.0641
7291,-21.9842,-7.1963,0.0
7352,-21.8494,-7.2063,-5.3065
7353,-21.8494,-7.2063,-7.9685
7354,-21.8494,-7.2063,-9.4951
7355,-21.882,-7.3443,-10.7187
7356,-22.32,-7.0686,-10.7187
7357,-21.9155,-7.2733,-10.7187
7358,-22.0132,-7.0641,-10.7187
7359,-22.0861,-7.2645,-10.7187
7360,-21.9038,-7.0746,-9.6229
7361,-21.828,-7.2378,-10.7337
7362,-22.2017,-6.9486,-10.7337
7363,-22.2124,-7.4271,-10.7337
7364,-21.8711,-7.165,-10.7337
7365,-22.1864,-7.0049,-10.7337
7366,-22.2508,-7.2983,-10.7337
7367,-22.0421,-7.3391,-10.7337
7368,-22.0814,-7.3178,-10.7337
7369,-22.2146,-7.2179,-10.575
7370,-22.0863,-7.0833,-10.3793
7371,-21.9795,-7.2019,-10.186
7372,-22.0835,-7.3187,-9.993
7373,-22.1045,-7.3195,-9.6937
7375,-22.1045,-7.3195,-9.3694
7376,-22.1045,-7.3195,-7.7323
7377,-22.1045,-7.3195,-6.1591
7378,-22.1045,-7.3195,-4.5859
7379,-22.1045,-7.3195,-3.0127
7380,-22.1045,-7.3195,-1.4182
7381,-22.1045,-7.3195,0.0
7382,-22.5887,-6.761,0.0
7386,-22.5887,-6.761,0.0054
7387,-22.5887,-6.761,4.1083
7389,-22.5887,-6.761,0.0357
7390,-22.5887,-6.761,-8.1
7409,-22.5888,-6.761,-8.379
7410,-22.5888,-6.761,-8.1
7417,-22.5888,-6.4647,-8.1
7418,-22.6916,-6.451,-8.1
7419,-23.0688,-6.451,-8.1
7427,-23.0688,-6.4509,-8.1
7428,-23.4668,-6.5183,-8.6
7429,-23.1857,-7.5115,-8.6
7430,-23.4668,-7.4878,-8.6
7431,-23.4668,-6.1379,-8.6
7432,-22.2017,-6.1179,-8.6
7433,-22.0731,-6.1881,-8.6
7434,-22.9242,-6.1179,-8.6
7435,-23.1819,-6.4027,-8.1
7436,-23.1146,-6.47,-8.1
7450,-23.1146,-6.4697,-8.1
7451,-23.1146,-6.31,-8.1
7453,-23.0146,-6.31,-8.1
7454,-23.0146,-6.31,-8.0728
7455,-23.0146,-6.31,-7.91
7456,-23.0146,-6.31,-6.81
7457,-23.0146,-6.31,-4.864
7458,-22.998,-6.31,-4.53
7459,-22.2746,-6.31,-4.53
7460,-22.2746,-3.1195,-4.53
7461,-22.2746,0.0,-4.53
7462,-22.2746,0.0,-0.008
7463,-22.2746,0.0,0.0
7464,-20.7329,0.0,0.0
7465,-15.5114,0.0,0.0
7466,-14.9246,0.0,0.0
7469,-14.9246,0.0,4.1083
7470,-14.9246,0.0,0.0199
7471,-14.9244,-0.0001,-0.0003
7473,-14.9245,0.0,-0.0003
7474,-14.9244,0.0,-0.0003
7477,-14.9246,0.0,-0.0003
7539,-14.9246,-0.3138,0.0
7540,-6.1371,-9.5325,-6.7276
7541,-6.3621,-9.3824,-11.3635
7542,-6.3621,-8.8797,-11.3635
7543,-6.3621,-8.3837,-11.3635
7544,-6.3621,-7.881,-11.3635
7545,-6.3621,-7.385,-11.3635
7546,-6.3621,-6.889,-11.3635
7547,-6.3302,-6.3961,-11.3635
7548,-6.1371,-6.3824,-9.8774
7549,-6.4171,-6.3824,-7.1135
7550,-23.651,-6.3824,-11.3622
7551,-23.4871,-6.7485,-11.3635
7552,-23.4871,-7.2445,-11.3635
7553,-23.4871,-7.7472,-11.3635
7554,-23.4871,-8.2499,-11.3635
7555,-23.4871,-8.7459,-11.3635
7556,-23.4871,-9.2419,-11.3635
7557,-23.7068,-9.5324,-11.3162
7558,-23.7121,-9.5324,-8.713
7559,-23.4236,-9.5283,0.0
7560,-7.1623,-9.2919,0.0
7561,-6.4414,-9.2814,2.2592
7562,-6.4414,-9.2814,0.4116
7563,-6.4414,-9.2814,0.0
7564,-6.4821,-8.5148,-10.1123
7565,-6.4474,-6.5877,-6.8623
7566,-6.4133,-8.5771,-10.1123
7567,-6.5405,-6.2487,-10.0998
7568,-6.4425,-9.356,-10.1123
7569,-6.3977,-6.548,-10.1123
7570,-6.5221,-9.5934,-6.8627
7571,-6.2138,-7.3132,-10.1123
7572,-6.9897,-6.0888,-9.9449
7573,-20.1679,-6.5255,-6.8623
7574,-23.3671,-8.0021,-10.1123
7575,-23.4064,-7.0859,-6.8623
7576,-23.4362,-8.0066,-10.1123
7577,-23.3076,-9.6832,-9.9933
7578,-23.5359,-6.81,-10.1123
7579,-23.2812,-9.6478,-10.1123
7580,-23.3273,-6.3218,-9.2859
7581,-23.6294,-8.9985,-10.1123
7582,-22.852,-9.8255,-6.8623
7583,-7.4883,-9.278,-6.8623
7584,-6.4821,-6.9828,-9.7623
7585,-6.4414,-9.5181,-7.5533
7586,-6.4183,-7.2527,-9.7623
7587,-6.5337,-6.6662,-6.8623
7588,-6.3133,-8.0013,-9.7623
7589,-6.6612,-6.1692,-9.6614
7590,-6.2237,-9.3381,-9.7623
7591,-6.4291,-6.3057,-9.7623
7592,-10.8064,-6.2152,-6.8623
7593,-23.4078,-6.6329,-9.0456
7594,-23.3983,-9.5173,-9.7356
7595,-23.3675,-6.4669,-9.7623
7596,-23.3913,-9.2339,-9.7623
7597,-23.3664,-6.4589,-6.8623
7598,-23.534,-8.6278,-9.7623
7599,-23.1941,-9.5964,-6.8623
7600,-23.6364,-7.4653,-9.7623
7601,-23.1133,-9.7207,-9.7623
7602,-15.0664,-9.5481,-6.8623
7603,-6.4821,-8.8028,-9.3623
7604,-6.4477,-6.4269,-6.8623
7605,-6.4134,-8.6731,-9.3623
7606,-6.5402,-6.254,-9.3538
7607,-6.4245,-9.3357,-9.3623
7608,-6.4203,-6.4905,-9.3623
7609,-6.5221,-9.5934,-6.87
7610,-6.215,-7.1414,-9.3623
7611,-6.9897,-6.0888,-7.5567
7612,-21.5921,-6.5727,-6.8623
7613,-23.3671,-8.4961,-9.3623
7614,-23.4078,-6.3968,-6.863
7615,-23.4345,-8.4446,-9.3623
7616,-23.3077,-9.6794,-6.8623
7617,-23.5364,-7.7408,-9.3623
7618,-23.1881,-9.7456,-9.307
7619,-23.5763,-6.4917,-9.3623
7620,-23.4914,-9.5458,-9.3623
7621,-19.297,-9.6988,-6.8623
7622,-6.4718,-9.2417,-8.5096
7623,-6.4479,-6.3926,-8.9052
7624,-6.4801,-9.1928,-8.9623
7625,-6.4819,-6.4694,-8.9623
7626,-6.4826,-9.4647,-7.3307
7627,-6.329,-6.9207,-8.9623
7628,-6.5609,-8.6374,-6.8623
7629,-6.2133,-7.6597,-8.9623
7630,-6.9897,-6.0888,-8.8629
7631,-18.7437,-6.4783,-6.8623
7632,-23.3671,-7.8581,-8.9623
7633,-23.4064,-7.0922,-6.8623
7634,-23.436,-8.1463,-8.9623
7635,-23.3076,-9.6832,-8.5609
7636,-23.5364,-7.2399,-8.9623
7637,-23.2036,-9.719,-8.9584
7638,-23.475,-6.4114,-8.9623
7639,-23.5799,-9.3719,-8.9623
7640,-22.8609,-9.8258,-3.5341
7641,-14.9246,-7.9575,0.0
7642,-14.9246,-7.9575,3.8504
7644,-14.9246,-7.9575,-8.35
7646,-14.9246,-7.9575,-8.8009
7654,-14.953,-6.1458,-8.85
7655,-14.953,-6.1458,-8.5256
7656,-14.953,-9.5428,-8.85
7657,-14.953,-8.629,-8.35
7658,-6.2387,-7.96,-8.3715
7659,-6.2387,-7.96,-8.7456
7660,-11.764,-7.96,-8.35
7661,-23.6673,-7.96,-8.3572
7662,-23.6673,-7.96,-8.85
7663,-18.592,-7.96,-8.35
7664,-14.953,-7.96,-8.35
7672,-14.953,-7.91,-8.35
7673,-14.953,-7.7699,-8.35
7674,-14.953,-7.27,-8.35
7675,-14.953,-7.27,-8.1437
7676,-14.953,-7.27,-7.5865
7677,-14.953,-7.27,-5.8746
7678,-14.953,-7.27,-0.7382
7679,-14.953,-7.1813,0.0
7680,-14.953,-4.3799,0.0
7681,-14.953,0.0,0.0
7685,-14.953,0.0,0.0039
7686,-14.953,0.0,3.5622
7718,-14.9527,-8.5726,0.0
7719,-6.1688,-9.5277,-11.3113
7720,-6.3905,-9.2366,-11.3644
7721,-6.3905,-8.7406,-11.3644
7722,-6.3905,-8.2379,-11.3644
7723,-6.3905,-7.7419,-11.3644
7724,-6.3905,-7.2459,-11.3644
7725,-6.3905,-6.7499,-11.3644
7726,-6.2261,-6.3777,-11.363
7727,-6.1655,-6.3777,-9.1172
7728,-14.6788,-6.3777,-7.1144
7729,-23.5469,-6.3917,-11.3644
7730,-23.5155,-6.8781,-11.3644
7731,-23.5155,-7.3808,-11.3644
7732,-23.5155,-7.8835,-11.3644
7733,-23.5155,-8.3728,-11.3644
7734,-23.5155,-8.8755,-11.3644
7735,-23.5155,-9.3715,-11.3644
7736,-23.7405,-9.5277,-10.6622
7737,-23.7405,-9.5277,-7.9554
7738,-19.2351,-9.4622,0.0
7739,-6.4698,-9.2767,0.0
7740,-6.4698,-9.2767,4.1083
7741,-6.4698,-9.2767,0.0543
7742,-6.4698,-9.2767,-2.7902
7743,-6.5105,-7.4301,-10.1132
7744,-6.4698,-9.5134,-6.8634
7745,-6.4428,-7.5598,-10.1132
7746,-6.57,-6.2269,-7.2306
7747,-6.3417,-8.5924,-10.1132
7748,-6.6761,-6.1877,-10.1074
7749,-6.5188,-9.5547,-10.1132
7750,-6.2703,-6.6628,-10.1132
7751,-8.0533,-6.1183,-6.8632
7752,-23.4294,-6.6279,-6.8632
7753,-23.3955,-9.1273,-10.1132
7754,-23.4362,-6.392,-8.7365
7755,-23.4591,-8.6879,-10.1132
7756,-23.3451,-9.1824,-6.8632
7757,-23.5648,-7.9411,-10.1132
7758,-23.2164,-9.741,-10.0116
7759,-23.6436,-6.547,-10.1132
7760,-23.515,-9.5468,-10.1132
7761,-19.467,-9.6991,-6.8632
7762,-6.5002,-9.237,-8.4056
7763,-6.4775,-6.3898,-9.7281
7764,-6.5105,-9.3698,-9.7632
7765,-6.4876,-6.6678,-9.7632
7766,-6.511,-9.46,-6.8633
7767,-6.3452,-7.2124,-9.7632
7768,-6.6833,-6.3198,-6.8632
7769,-6.2417,-8.3848,-9.7632
7770,-6.8323,-6.1672,-9.7632
7771,-15.3323,-6.3521,-6.8632
7772,-23.3955,-6.9773,-9.7632
7773,-23.4298,-9.5177,-7.2491
7774,-23.4647,-7.0053,-9.7632
7775,-23.3508,-9.596,-9.7632
7776,-23.3954,-6.4553,-9.7632
7777,-23.5084,-9.2088,-9.7632
7778,-23.355,-6.3349,-6.8632
7779,-23.6646,-8.4791,-9.7632
7780,-22.8893,-9.8211,-9.6587
7781,-10.7559,-9.3887,-6.8632
7782,-6.5105,-7.7601,-9.3632
7783,-6.4703,-9.2891,-6.8632
7784,-6.4424,-7.6622,-9.3632
7785,-6.57,-6.2269,-7.3811
7786,-6.3417,-8.5784,-9.3632
7787,-6.6773,-6.1855,-9.356
7788,-6.4354,-9.5155,-9.3632
7789,-6.2965,-6.5432,-9.3632
7790,-9.1357,-6.1542,-6.8632
7791,-23.4362,-6.6281,-6.9461
7792,-23.402,-9.4704,-9.3632
7793,-23.421,-6.4118,-9.3562
7794,-23.4385,-9.0643,-9.3632
7795,-23.3914,-6.6419,-6.8632
7796,-23.5632,-8.544,-9.3632
7797,-23.2185,-9.6896,-6.8632
7798,-23.6648,-7.4786,-9.3632
7799,-23.1225,-9.7218,-9.3632
7800,-14.7616,-9.5314,-6.8632
7801,-6.5105,-8.7281,-8.9632
7802,-6.476,-6.4846,-6.8632
7803,-6.4417,-8.3816,-8.9632
7804,-6.5697,-6.2313,-8.9334
7805,-6.3687,-9.207,-8.9632
7806,-6.5413,-6.3274,-8.9632
7807,-6.5505,-9.5887,-8.2688
7808,-6.2479,-6.9285,-8.9632
7809,-7.1917,-6.0898,-6.8632
7810,-23.0914,-6.6167,-6.8632
7811,-23.3955,-9.0093,-8.9632
7812,-23.4362,-6.392,-8.5012
7813,-23.4557,-8.765,-8.9632
7814,-23.371,-7.762,-6.8632
7815,-23.5643,-8.3331,-8.9632
7816,-23.2164,-9.741,-7.6354
7817,-23.6648,-7.1526,-8.9632
7818,-23.244,-9.6856,-8.9632
7819,-22.1814,-9.6544,0.0
7820,-14.9529,-7.9527,0.0
7821,-14.9529,-7.9527,4.1082
7823,-14.9529,-7.9527,-8.4
7825,-14.9529,-7.9527,-8.7066
7833,-14.8817,-6.3449,-8.9
7834,-14.8817,-6.8677,-8.4
7835,-14.8817,-9.5881,-8.9
7836,-14.8817,-7.9801,-8.4
7837,-6.2972,-7.9801,-8.9
7838,-6.1675,-7.9801,-8.4
7839,-12.4994,-7.9801,-8.4
7840,-23.5695,-7.9801,-8.9
7841,-23.5909,-7.9801,-8.4
7842,-17.0808,-7.9801,-8.4
7847,-14.8817,-7.9801,-8.33
7849,-14.8817,-8.1101,-8.33
7850,-14.8817,-8.2601,-8.33
7853,-14.8817,-10.0742,-8.33
7854,-6.239,-8.26,-8.33
7855,-6.5233,-8.26,-8.83
7856,-10.3394,-8.26,-8.33
7857,-20.5029,-8.26,-8.33
7858,-23.3828,-8.26,-8.83
7859,-19.2408,-8.26,-8.33
7860,-14.8817,-8.26,-8.33
7867,-14.8817,-8.26,-8.0656
7868,-14.8817,-8.26,-7.97
7869,-14.8817,-8.21,-7.97
7872,-14.8817,-7.8181,-7.97
7873,-14.8817,-7.23,-7.97
7874,-14.7417,-7.23,-7.9699
7875,-14.7417,-7.23,-7.2411
7876,-14.7417,-7.23,-4.3539
7877,-14.7417,-7.23,0.0
7878,-14.7417,-4.4882,0.0
7879,-14.7417,0.0,0.0
7880,-14.8217,0.0,0.0
7917,-14.8217,0.0,4.1032
7924,-14.8217,-4.0482,0.0
7925,-13.0685,-9.5353,0.0
7926,-6.0343,-9.5353,-0.3193
7927,-6.0343,-9.5353,-6.9271
7928,-6.1821,-9.5352,-11.3681
7929,-6.2593,-9.0831,-11.3681
7930,-6.2593,-8.5803,-11.3681
7931,-6.2593,-8.0843,-11.3681
7932,-6.2593,-7.5816,-11.3681
7933,-6.2593,-7.0856,-11.3681
7934,-6.2593,-6.5896,-11.3681
7935,-6.0343,-6.3852,-10.9249
7936,-6.0343,-6.3852,-8.2542
7937,-10.0317,-6.3852,-7.1181
7938,-17.8978,-6.3852,-7.1181
7939,-23.6092,-6.3852,-8.7552
7940,-23.3843,-6.4584,-11.3681
7941,-23.3843,-6.9616,-11.3681
7942,-23.3843,-7.4643,-11.3681
7943,-23.3843,-7.9536,-11.3681
7944,-23.3843,-8.4563,-11.3681
7945,-23.3843,-8.9523,-11.3681
7946,-23.3843,-9.4483,-11.3681
7947,-23.6092,-9.5352,-10.2572
7948,-23.6092,-9.5352,-7.6182
7949,-23.6092,-9.5352,-2.239
7950,-13.5045,-9.3884,0.0
7951,-6.3386,-9.2842,0.0002
7952,-6.3386,-9.2842,4.1083
7953,-6.3386,-9.2842,2.1422
7954,-6.3386,-9.2842,0.0
7955,-6.3386,-9.2842,-3.7594
7956,-6.3386,-9.2842,-10.0575
7957,-6.3453,-6.3958,-10.074
7958,-6.3386,-9.5209,-6.8674
7959,-6.3105,-8.7179,-10.1169
7960,-6.4364,-6.2714,-10.115
7961,-6.3827,-9.3063,-6.8669
7962,-6.2105,-8.74,-10.1169
7963,-6.5392,-6.2049,-10.1153
7964,-6.434,-9.2335,-6.8669
7965,-6.1106,-9.0344,-10.1169
7966,-6.4762,-6.2529,-10.1169
7967,-7.0636,-6.0974,-6.8669
7968,-22.969,-6.6245,-6.8669
7969,-23.2643,-7.4649,-10.1169
7970,-23.2986,-9.5252,-8.5586
7971,-23.3049,-6.3996,-8.9424
7972,-23.3318,-8.4315,-10.1169
7973,-23.2048,-9.686,-9.2397
7974,-23.2638,-6.453,-8.3189
7975,-23.4323,-8.5073,-10.1169
7976,-23.0852,-9.7485,-9.2594
7977,-23.2245,-6.3246,-8.1023
7978,-23.5335,-8.3537,-10.1169
7979,-22.758,-9.8286,-10.018
7980,-17.1288,-9.628,-6.8669
7981,-6.369,-9.2445,-8.1587
7982,-6.3792,-6.6116,-9.7669
7983,-6.3397,-8.7739,-6.8669
7984,-6.3266,-9.0505,-9.7669
7985,-6.401,-6.3588,-9.7669
7986,-6.3941,-8.6808,-6.8669
7987,-6.2105,-8.652,-9.7669
7988,-6.5369,-6.2089,-9.7663
7989,-6.4231,-9.5021,-6.8669
7990,-6.1105,-8.6464,-9.7669
7991,-6.5658,-6.2151,-9.7669
7992,-8.7129,-6.1521,-6.8669
7993,-23.3049,-6.6357,-6.8705
7994,-23.2643,-8.1509,-9.7669
7995,-23.2986,-9.5252,-6.9167
7996,-23.2921,-6.4163,-9.7575
7997,-23.3088,-9.0548,-9.7669
7998,-23.2048,-9.686,-6.9467
7999,-23.2741,-6.5163,-9.7669
8000,-23.3677,-9.3104,-9.7669
8001,-23.0888,-9.6581,-6.8669
8002,-23.3898,-6.4244,-9.7669
8003,-23.4494,-9.4489,-9.7669
8004,-22.758,-9.8286,-7.2212
8005,-8.8257,-9.3321,-6.8669
8006,-6.3792,-8.5116,-9.3669
8007,-6.3449,-6.3953,-7.9169
8008,-6.3386,-9.5209,-9.3086
8009,-6.3225,-7.0486,-9.3669
8010,-6.4387,-6.2345,-7.0879
8011,-6.3471,-9.3674,-9.3669
8012,-6.2978,-6.5427,-9.3669
8013,-6.5319,-6.8226,-6.8669
8014,-6.1155,-9.3114,-9.3669
8015,-6.3548,-6.2927,-9.3669
8016,-7.4166,-6.1091,-6.8669
8017,-23.2325,-6.6332,-6.8669
8018,-23.2643,-7.9589,-9.3669
8019,-23.2986,-9.5252,-6.9062
8020,-23.2708,-6.4457,-9.3669
8021,-23.2921,-9.2087,-9.3669
8022,-23.2075,-9.5345,-6.8669
8023,-23.4318,-6.7957,-9.3669
8024,-23.2095,-9.6179,-9.3669
8025,-23.1959,-7.0258,-6.8669
8026,-23.5335,-7.2501,-9.3669
8027,-23.1052,-9.6959,-9.3669
8028,-20.4101,-9.745,-6.8669
8029,-6.369,-9.2445,-6.889
8030,-6.3792,-7.0456,-8.9669
8031,-6.3398,-8.8934,-6.8669
8032,-6.3105,-8.7159,-8.9669
8033,-6.4369,-6.2628,-8.9618
8034,-6.3797,-9.4675,-6.9074
8035,-6.211,-7.5482,-8.9669
8036,-6.5583,-6.172,-8.6441
8037,-6.4192,-9.5962,-8.7604
8038,-6.1156,-6.9663,-8.9669
8039,-6.8869,-6.0916,-8.0626
8040,-18.8241,-6.4872,-6.8669
8041,-23.2643,-6.9949,-8.9669
8042,-23.2986,-9.5252,-8.2279
