,x,y,z
1039,-15.0,-2.3038,0.0015
1040,-13.4455,0.0,2.0
1041,-9.1936,0.0,2.0
1042,-4.8353,0.0,2.0
1043,-0.5833,0.0,3.4167
1044,0.0,-3.2726,4.0
1045,0.0,-7.6308,4.0
1046,0.0,-12.0954,4.0
1047,-0.0009,-16.1,3.0
1048,-3.9993,-16.1,3.0
1049,-8.3576,-16.1,3.0
1050,-12.7159,-16.1,3.0
1051,-17.0742,-16.1,3.0
1052,-21.5387,-16.1,3.0
1053,-25.7907,-16.1,3.0
1054,-29.9976,-16.0999,2.0024
1055,-30.0,-12.2014,2.0
1056,-30.0,-7.8432,2.0
1057,-30.0,-3.4849,2.0
1058,-29.6266,0.0,1.0
1059,-25.3747,0.0,1.0
1060,-21.0164,0.0,1.0
1061,-16.6581,0.0,1.0
1062,-12.2999,0.0,1.0
1063,-7.9416,0.0,1.0
1064,-3.6896,0.0,1.0
1098,-0.1647,0.0,0.0
1099,-4.523,0.0,0.0
1100,-8.9875,-2.0375,0.0
1101,-13.2395,-6.2895,0.0
1102,-15.0,-8.05,-0.0003
1262,-15.0,-4.7762,0.0
1263,-15.0,-0.3117,1.6883
1264,-11.666,0.0,2.0
1265,-7.3077,0.0,2.0
1266,-2.9495,0.0,2.0
1267,0.0,-0.8001,4.0
1268,0.0,-5.1584,4.0
1269,0.0,-9.4104,4.0
1270,0.0,-13.8749,4.0
1271,-1.5269,-16.1,3.0
1272,-5.8852,-16.1,3.0
1273,-10.2434,-16.1,3.0
1274,-14.6017,-16.1,3.0
1275,-19.0663,-16.1,3.0
1276,-23.3182,-16.1,3.0
1277,-27.6765,-16.1,3.0
1278,-30.0,-14.6739,2.0
1279,-30.0,-10.3156,2.0
1280,-30.0,-5.9573,2.0
1281,-30.0,-1.4928,1.9998
1282,-27.8471,0.0,1.0
1283,-23.4888,0.0,1.0
1284,-19.1306,0.0,1.0
1285,-14.7723,0.0,1.0
1286,-10.414,0.0,1.0
1287,-5.9495,0.0,1.0
1288,-1.6975,0.0,1.0
1292,-1.5919,0.0,0.0
1295,-13.7724,0.0,2.0
1296,-1.8247,0.0,2.19
1297,0.0,-5.3777,4.0
1298,0.0,-14.3068,3.9986
1299,-5.199,-16.1,3.0
1300,-13.9155,-16.1,3.0
1301,-22.632,-16.1,3.0
1302,-30.0,-16.0648,2.0
1303,-30.0,-7.5491,2.0
1304,-29.958,0.0,1.0
1305,-21.6278,0.0,1.0
1306,-12.9113,0.0,1.0
1307,-4.1947,0.0,1.0
1314,-0.6399,0.0,0.0
1315,-9.3564,-2.4064,0.0
1316,-14.9999,-8.05,-0.0003
2247,-15.0,-4.1632,0.0
2248,-12.1711,0.0,2.0
2249,-3.4546,0.0,2.0
2250,0.0,-3.7478,4.0
2251,0.0,-12.4643,4.0
2252,-3.569,-16.1,3.0
2253,-12.4982,-16.1,3.0
2254,-21.0021,-16.1,3.0
2255,-29.7186,-16.1,2.2813
2256,-30.0,-9.179,2.0
2257,-30.0,-0.4625,1.4625
2258,-23.2577,0.0,1.0
2259,-14.3286,0.0,1.0
2260,-5.8247,0.0,1.0
2262,-0.3171,0.0,0.0
2263,-9.2462,-2.2962,0.0
2269,-15.0,-2.5648,0.0044
2270,-10.3601,0.0,2.0
2271,-1.6436,0.0,2.3564
2272,0.0,-5.7714,4.0
2273,0.0,-14.2753,3.9988
2274,-5.3801,-16.1,3.0
2275,-14.0966,-16.1,3.0
2276,-22.8131,-16.1,3.0
2277,-30.0,-16.0087,2.0
2278,-30.0,-7.1554,2.0
2279,-29.9643,0.0,1.0
2280,-21.4467,0.0,1.0
2281,-12.7302,0.0,1.0
2282,-4.0136,0.0,1.0
2284,-5.2226,0.0,0.0
2285,-13.7265,-6.7765,0.0
2293,-15.0,-1.8562,0.1668
2294,-2.4231,0.0,2.0093
2295,0.0,-11.795,4.0
2296,-9.9155,-16.1,3.0
2297,-25.6478,-16.1,3.0
2298,-30.0,-6.0215,2.0
2299,-21.5884,0.0,1.0
2300,-6.0688,0.0,1.0
2302,-8.073,-1.123,0.0
2305,-11.3207,0.0,2.0
2306,0.0,-2.8974,4.0
2307,-1.2305,-16.1,3.0
2308,-17.1753,-16.1,3.0
2309,-30.0,-14.7066,2.0
2310,-29.9933,0.0,1.0
2311,-14.7538,0.0,1.0
2313,-1.0571,0.0,0.0
2314,-13.9998,0.0,0.0
2318,-12.7227,0.0,0.0
2319,-14.8998,0.0,0.0
2320,-14.8998,0.0,-0.0002
2328,-15.9,0.0,-0.0001
2329,-15.9,0.0,0.0
2330,-15.9,0.0,4.1083
2331,-15.9,0.0,0.0841
2337,-15.9,0.0,0.0952
2338,-15.8999,0.0,-0.0003
2341,-15.9,0.0,-0.0003
2600,-9.7274,0.0,0.0
2601,-3.0674,0.0,0.0
2604,-14.3666,-7.0293,0.0
2605,-14.4463,-7.109,-3.3488
2607,-14.4463,-7.109,-5.7593
2608,-14.4463,-7.109,-9.1315
2609,-14.4463,-7.109,-9.2605
2610,-14.4655,-7.109,-9.2605
2611,-14.9383,-7.109,-9.2605
2612,-15.3871,-7.109,-9.2605
2613,-15.8659,-7.109,-9.2605
2614,-16.364,-7.109,-9.2605
2615,-16.8561,-7.109,-9.2605
2616,-17.0273,-7.109,-9.2605
2617,-17.045,-7.109,-9.2605
2618,-17.0847,-7.109,-9.2605
2619,-17.1141,-7.109,-9.2605
2620,-17.1413,-7.109,-9.2605
2621,-17.1652,-7.109,-9.2605
2622,-17.1897,-7.109,-9.2605
2623,-17.2115,-7.109,-9.2605
2624,-17.2323,-7.109,-9.2605
2625,-17.255,-7.109,-9.2605
2626,-17.2787,-7.109,-9.2605
2627,-17.3042,-7.109,-9.2605
2628,-17.3333,-7.109,-9.2605
2629,-17.3611,-7.109,-9.2605
2630,-17.3876,-7.109,-9.2605
2631,-17.4109,-7.109,-9.2605
2632,-17.4351,-7.109,-9.2605
2633,-17.4584,-7.109,-9.2605
2634,-17.4807,-7.109,-9.2605
2635,-17.5003,-7.109,-9.2605
2636,-17.519,-7.109,-9.2605
2637,-17.5377,-7.109,-9.2605
2638,-17.5548,-7.109,-9.2605
2639,-17.5683,-7.109,-9.2605
2640,-17.5691,-7.109,-9.2605
2641,-17.6053,-7.109,-9.2605
2642,-17.6655,-7.109,-9.2605
2643,-17.7527,-7.109,-9.2605
2644,-17.8357,-7.109,-9.2605
2645,-17.9365,-7.109,-9.2605
2646,-18.0367,-7.109,-9.2605
2647,-18.1443,-7.109,-9.2605
2648,-18.2584,-7.109,-9.2605
2649,-18.3788,-7.109,-9.2605
2650,-18.4933,-7.109,-9.2605
2651,-18.5303,-7.109,-9.2605
2655,-18.5348,-7.109,-9.2605
2656,-18.6293,-7.109,-9.2605
2657,-18.6493,-7.109,-9.2605
2658,-18.6493,-7.2425,-9.2605
2659,-18.6493,-7.3036,-9.2605
2660,-18.6493,-7.3,-9.2605
2661,-18.6845,-7.3,-9.2605
2662,-18.7839,-7.3,-9.2605
2663,-18.8807,-7.3,-9.2605
2664,-18.9417,-7.3,-9.2605
2665,-18.9093,-7.3,-9.2605
2668,-18.9093,-7.3,-9.2585
2669,-18.9093,-7.3,-9.2332
2670,-18.9093,-7.3,-9.1634
2671,-18.9093,-7.3,-9.0225
2672,-18.9093,-7.3,-8.7945
2673,-18.9093,-7.3,-8.6305
2677,-20.1833,-7.3,-8.6305
2678,-20.2093,-7.3,-8.6305
2679,-20.2093,-7.4,-8.6305
2682,-20.2093,-7.4,-8.4305
2683,-20.2093,-7.4,-6.3305
2696,-20.2093,-7.4,-5.9305
2697,-20.2093,-7.4,-2.8308
2698,-20.2093,-7.4,-0.1305
2699,-20.2093,-3.4538,-0.1305
2700,-20.2093,0.0,-0.1305
2854,-20.2093,-1.1554,-0.1305
2855,-20.2093,-6.95,-0.1305
2858,-20.2093,-6.95,-3.1326
2859,-20.2093,-6.95,-6.4176
2860,-20.2093,-6.95,-9.2421
2863,-19.5669,-6.95,-9.2421
2864,-16.5382,-6.95,-9.2421
2865,-14.374,-6.95,-9.2421
2866,-15.7188,-6.95,-9.2421
2867,-17.0193,-6.95,-9.2421
2868,-17.0254,-6.95,-9.2421
2869,-17.0565,-6.95,-9.2421
2870,-17.0762,-6.95,-9.2421
2871,-17.0966,-6.95,-9.2421
2872,-17.1177,-6.95,-9.2421
2873,-17.1397,-6.95,-9.2421
2874,-17.1615,-6.95,-9.2421
2875,-17.1844,-6.95,-9.2421
2876,-17.204,-6.95,-9.2421
2877,-17.2215,-6.95,-9.2421
2878,-17.2399,-6.95,-9.2421
2879,-17.2572,-6.95,-9.2421
2880,-17.2729,-6.95,-9.2421
2881,-17.2898,-6.95,-9.2421
2882,-17.3069,-6.95,-9.2421
2883,-17.3239,-6.95,-9.2421
2884,-17.3422,-6.95,-9.2421
2885,-17.3587,-6.95,-9.2421
2886,-17.3758,-6.95,-9.2421
2887,-17.3929,-6.95,-9.2421
2888,-17.4059,-6.95,-9.2421
2889,-17.4179,-6.95,-9.2421
2890,-17.4239,-6.95,-9.2421
2891,-17.4288,-6.95,-9.2421
2892,-17.4404,-6.95,-9.2421
2893,-17.4518,-6.95,-9.2421
2894,-17.4642,-6.95,-9.2421
2895,-17.4767,-6.95,-9.2421
2896,-17.4894,-6.95,-9.2421
2897,-17.5006,-6.95,-9.2421
2898,-17.5097,-6.95,-9.2421
2899,-17.5146,-6.95,-9.2421
2900,-17.527,-6.95,-9.2421
2901,-17.5386,-6.95,-9.2421
2902,-17.5507,-6.95,-9.2421
2903,-17.567,-6.95,-9.2421
2904,-17.5835,-6.95,-9.2421
2905,-17.5992,-6.95,-9.2421
2906,-17.6159,-6.95,-9.2421
2907,-17.6314,-6.95,-9.2421
2908,-17.6449,-6.95,-9.2421
2909,-17.6629,-6.95,-9.2421
2910,-17.6871,-6.95,-9.2421
2911,-17.7105,-6.95,-9.2421
2912,-17.7339,-6.95,-9.2421
2913,-17.7574,-6.95,-9.2421
2914,-17.7811,-6.95,-9.2421
2915,-17.803,-6.95,-9.2421
2916,-17.8248,-6.95,-9.2421
2917,-17.8463,-6.95,-9.2421
2918,-17.8657,-6.95,-9.2421
2919,-17.8841,-6.95,-9.2421
2920,-17.9011,-6.95,-9.2421
2921,-17.9181,-6.95,-9.2421
2922,-17.9294,-6.95,-9.2421
2923,-17.934,-6.95,-9.2421
2924,-17.938,-6.95,-9.2421
2925,-17.9612,-6.95,-9.2421
2926,-17.9791,-6.95,-9.2421
2927,-18.0038,-6.95,-9.2421
2928,-18.051,-6.95,-9.2421
2929,-18.1002,-6.95,-9.2421
2930,-18.17,-6.95,-9.2421
2931,-18.2356,-6.95,-9.2421
2932,-18.263,-6.95,-9.2421
2933,-18.265,-6.95,-9.2421
2935,-18.265,-6.95,-9.233
2936,-18.265,-6.95,-9.2141
2937,-18.265,-6.95,-9.1971
2938,-18.265,-6.95,-9.1857
2939,-18.265,-6.95,-9.1741
2940,-18.265,-6.95,-9.163
2941,-18.265,-6.95,-9.1462
2942,-18.265,-6.95,-9.1328
2943,-18.265,-6.95,-9.1151
2944,-18.265,-6.95,-9.1028
2945,-18.265,-6.95,-9.091
2946,-18.265,-6.95,-9.0771
2947,-18.265,-6.95,-9.0611
2948,-18.265,-6.95,-9.0411
2949,-18.265,-6.95,-9.0271
2950,-18.265,-6.95,-9.009
2951,-18.265,-6.95,-8.9911
2952,-18.265,-6.95,-8.9721
2953,-18.265,-6.95,-8.9991
2955,-18.2648,-6.95,-8.9991
2956,-18.205,-6.95,-8.9991
2957,-18.2482,-6.95,-8.9991
2958,-18.4854,-6.95,-8.9991
2959,-18.765,-6.95,-8.9991
2960,-19.0653,-6.95,-8.9991
2961,-19.105,-6.95,-8.9991
2964,-19.105,-6.9599,-8.9991
